epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,4716.53,1.00674,0.77393,0.00537,0.64213,0.57798,0.59794,0.2845,1.84926,1.58989,0.01537,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
56,4801.64,0.99615,0.77634,0.00538,0.63029,0.61973,0.59391,0.27931,1.87423,1.58945,0.01542,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
57,4886.91,0.98733,0.75007,0.00539,0.63626,0.59231,0.59269,0.28858,1.84079,1.57561,0.01481,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
58,4972.2,0.98664,0.76351,0.00545,0.66315,0.58011,0.59633,0.29004,1.83715,1.57331,0.0148,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714
59,5057.69,0.97105,0.74125,0.00532,0.62672,0.60813,0.60108,0.29099,1.84248,1.59372,0.01501,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
60,5142.93,0.96814,0.74818,0.00526,0.66788,0.58515,0.60459,0.29506,1.83614,1.54523,0.01486,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318
61,5228.34,0.98589,0.7508,0.00532,0.65119,0.57674,0.59589,0.29799,1.81578,1.6118,0.0146,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
62,5313.83,0.9817,0.75089,0.00542,0.66905,0.58384,0.60181,0.29549,1.81268,1.56479,0.01453,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922
63,5399.17,1.00025,0.75862,0.00544,0.67791,0.57399,0.6064,0.29954,1.8103,1.55749,0.01447,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
64,5484.53,0.9769,0.73331,0.00522,0.65098,0.60038,0.60592,0.297,1.83938,1.55988,0.01487,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526
65,5569.91,0.98177,0.74155,0.00528,0.70088,0.56222,0.60513,0.29716,1.85747,1.53737,0.015,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
66,5655.14,0.97689,0.73055,0.00526,0.66119,0.59205,0.60821,0.30045,1.85436,1.52631,0.01509,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
67,5740.74,0.98803,0.7413,0.00535,0.67697,0.59185,0.60782,0.30079,1.84261,1.52549,0.01504,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
68,5826.13,0.96395,0.73819,0.0053,0.69421,0.58924,0.61698,0.30517,1.84338,1.5152,0.01504,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734
69,5911.65,0.96527,0.71975,0.00522,0.69172,0.58123,0.61903,0.31146,1.82348,1.53095,0.01443,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
70,5996.91,0.97414,0.73405,0.0053,0.67983,0.59383,0.6211,0.31033,1.81282,1.50277,0.01439,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338
71,6082.35,0.9727,0.72817,0.00518,0.66611,0.61143,0.62528,0.31004,1.80498,1.48717,0.01445,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
72,6167.74,0.96872,0.71803,0.00533,0.6725,0.60794,0.62677,0.30552,1.79665,1.48868,0.01433,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942
73,6253.06,0.95309,0.72291,0.00531,0.65941,0.60931,0.62507,0.30776,1.80218,1.48301,0.01429,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744
74,6338.39,0.97021,0.71385,0.00521,0.6776,0.60267,0.62701,0.31164,1.81108,1.49074,0.01442,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546
75,6423.64,0.96389,0.72273,0.00527,0.66665,0.60683,0.62165,0.31214,1.79775,1.50532,0.01432,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348
76,6509.02,0.95595,0.71026,0.00514,0.65223,0.61811,0.61972,0.31044,1.80398,1.5071,0.01445,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
77,6594.39,0.96182,0.70134,0.00516,0.65183,0.61492,0.61569,0.30916,1.80883,1.51057,0.01437,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952
