epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
96,3247.54,1.40016,0.81921,0.00791,0.82239,0.72517,0.80318,0.50498,1.3646,0.7883,0.01085,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
97,3280.15,1.39109,0.82233,0.00761,0.81809,0.72265,0.79271,0.50703,1.3539,0.81222,0.01048,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992
98,3312.8,1.37562,0.81856,0.00781,0.83943,0.72442,0.81279,0.51765,1.34719,0.76648,0.01064,0.0242382,0.0080794,0.0242382,0.0080794,0.0242382,0.0080794,0.0242382,0.0080794
99,3345.5,1.38528,0.81652,0.00763,0.83327,0.71143,0.79873,0.51224,1.37434,0.79131,0.01074,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596
100,3378.17,1.37125,0.807,0.00753,0.8105,0.74168,0.80468,0.51725,1.34908,0.74038,0.01042,0.0241194,0.0080398,0.0241194,0.0080398,0.0241194,0.0080398,0.0241194,0.0080398
101,3410.55,1.35715,0.83105,0.0076,0.8162,0.72634,0.80794,0.51019,1.36283,0.766,0.01074,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
102,3442.97,1.3763,0.80201,0.0074,0.82164,0.71069,0.79406,0.50975,1.36272,0.77774,0.01035,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002
103,3475.86,1.35803,0.8012,0.00737,0.83069,0.73011,0.80227,0.51347,1.35285,0.74591,0.01044,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804
104,3509.38,1.37635,0.79871,0.00749,0.84159,0.74327,0.81625,0.51939,1.33999,0.74453,0.01023,0.0238818,0.0079606,0.0238818,0.0079606,0.0238818,0.0079606,0.0238818,0.0079606
105,3541.9,1.37032,0.78143,0.00719,0.85846,0.7353,0.81785,0.52989,1.33622,0.71709,0.01016,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408
106,3575.1,1.36431,0.79113,0.00745,0.84351,0.71797,0.81434,0.52467,1.31232,0.74686,0.01,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
