epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
89,3092.8,1.16473,0.61867,0.00605,0.86869,0.75282,0.84112,0.56949,1.24247,0.66969,0.00931,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576
90,3126.47,1.17132,0.62786,0.00602,0.84714,0.76618,0.83847,0.56343,1.24098,0.67687,0.00898,0.0247134,0.0082378,0.0247134,0.0082378,0.0247134,0.0082378,0.0247134,0.0082378
91,3159.47,1.16673,0.6149,0.0059,0.86737,0.75368,0.8414,0.55385,1.2488,0.70077,0.00914,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
92,3193.28,1.16348,0.62307,0.00591,0.85894,0.7612,0.84381,0.56287,1.25007,0.69836,0.0097,0.0245946,0.0081982,0.0245946,0.0081982,0.0245946,0.0081982,0.0245946,0.0081982
93,3226.68,1.15254,0.60998,0.00578,0.86093,0.78347,0.85051,0.57249,1.21914,0.66622,0.00894,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784
94,3259.83,1.15455,0.61116,0.00603,0.84555,0.7762,0.84341,0.56879,1.2135,0.69675,0.00907,0.0244758,0.0081586,0.0244758,0.0081586,0.0244758,0.0081586,0.0244758,0.0081586
95,3297.56,1.17506,0.627,0.00594,0.84823,0.76711,0.84552,0.56545,1.22377,0.66908,0.00885,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388
96,3337.21,1.16266,0.62241,0.00596,0.84502,0.77226,0.84451,0.57006,1.21388,0.67368,0.00902,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
97,3376.36,1.16491,0.61923,0.00575,0.85034,0.76513,0.84553,0.57004,1.23481,0.68102,0.0094,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992
98,3415.06,1.14607,0.62174,0.00591,0.85853,0.77314,0.85168,0.57865,1.20925,0.64068,0.00921,0.0242382,0.0080794,0.0242382,0.0080794,0.0242382,0.0080794,0.0242382,0.0080794
99,3454.99,1.14778,0.62431,0.00579,0.85557,0.77943,0.84769,0.56907,1.20773,0.67273,0.00909,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596
100,3493.96,1.15434,0.60252,0.00582,0.83176,0.78564,0.84963,0.56577,1.20635,0.63649,0.00885,0.0241194,0.0080398,0.0241194,0.0080398,0.0241194,0.0080398,0.0241194,0.0080398
